date,hour,metric,price
2015-01-06,19,Avg. Price,37.14
2015-01-06,20,Avg. Price,32.72
2015-01-06,21,Avg. Price,34.56
2015-01-06,22,Avg. Price,40.02
2015-01-06,23,Avg. Price,33.04
2015-01-07,0,Avg. Price,25.31
2015-01-07,1,Avg. Price,21.29
2015-01-07,2,Avg. Price,20.58
2015-01-07,3,Avg. Price,20.3
2015-01-07,4,Avg. Price,20.3
2015-01-07,5,Avg. Price,20.84
2015-01-07,6,Avg. Price,21.09
2015-01-07,7,Avg. Price,24.36
2015-01-07,8,Avg. Price,23.8
2015-01-07,9,Avg. Price,21.93
2015-01-07,10,Avg. Price,25.4
2015-01-07,11,Avg. Price,26.32
2015-01-07,12,Avg. Price,26.35
2015-01-07,13,Avg. Price,26.98
2015-01-07,14,Avg. Price,24.39
2015-01-07,15,Avg. Price,24.45
2015-01-07,16,Avg. Price,21
2015-01-07,17,Avg. Price,20.87
2015-01-07,18,Avg. Price,18.23
2015-01-07,19,Avg. Price,18.57
2015-01-07,20,Avg. Price,22.82
2015-01-07,21,Avg. Price,25.52
2015-01-07,22,Avg. Price,21.75
2015-01-07,23,Avg. Price,22.86
2015-01-08,0,Avg. Price,15.14
2015-01-08,1,Avg. Price,9.47
2015-01-08,2,Avg. Price,8.94
2015-01-08,3,Avg. Price,10.92
2015-01-08,4,Avg. Price,19.52
2015-01-08,5,Avg. Price,20.42
2015-01-08,6,Avg. Price,24.9
2015-01-08,7,Avg. Price,25.57
2015-01-08,8,Avg. Price,26.82
2015-01-08,9,Avg. Price,25.77
2015-01-08,10,Avg. Price,25.56
2015-01-08,11,Avg. Price,28.23
2015-01-08,12,Avg. Price,29.25
2015-01-08,13,Avg. Price,33.21
2015-01-08,14,Avg. Price,33.32
2015-01-08,15,Avg. Price,31.52
2015-01-08,16,Avg. Price,30.42
2015-01-08,17,Avg. Price,53.3
2015-01-08,18,Avg. Price,117.22
2015-01-08,19,Avg. Price,68.1
2015-01-08,20,Avg. Price,36.4
2015-01-08,21,Avg. Price,36.4
2015-01-08,22,Avg. Price,35.51
2015-01-08,23,Avg. Price,34.78
2015-01-09,0,Avg. Price,33.61
2015-01-09,1,Avg. Price,30.56
2015-01-09,2,Avg. Price,29.28
2015-01-09,3,Avg. Price,23.66
2015-01-09,4,Avg. Price,21.51
2015-01-09,5,Avg. Price,23.52
2015-01-09,6,Avg. Price,28.4
2015-01-09,7,Avg. Price,30.71
2015-01-09,8,Avg. Price,33.39
2015-01-09,9,Avg. Price,42.43
2015-01-09,10,Avg. Price,41.15
2015-01-09,11,Avg. Price,42.45
2015-01-09,12,Avg. Price,57.74
2015-01-09,13,Avg. Price,76.91
2015-01-09,14,Avg. Price,37.55
2015-01-09,15,Avg. Price,22.85
2015-01-09,16,Avg. Price,37.83
2015-01-09,17,Avg. Price,74.35
2015-01-09,18,Avg. Price,23.3
2015-01-09,19,Avg. Price,21.03
2015-01-09,20,Avg. Price,20.95
2015-01-09,21,Avg. Price,21.7
2015-01-09,22,Avg. Price,21.17
2015-01-09,23,Avg. Price,26.03
2015-01-10,0,Avg. Price,23.01
2015-01-10,1,Avg. Price,22.07
2015-01-10,2,Avg. Price,21.11
2015-01-10,3,Avg. Price,24.45
2015-01-10,4,Avg. Price,26.38
2015-01-10,5,Avg. Price,28.18
2015-01-10,6,Avg. Price,28.2
2015-01-10,7,Avg. Price,26.26
2015-01-10,8,Avg. Price,31.23
2015-01-10,9,Avg. Price,37.92
2015-01-10,10,Avg. Price,56.44
2015-01-10,11,Avg. Price,72.82
2015-01-10,12,Avg. Price,70.11
2015-01-10,13,Avg. Price,27.61
2015-01-10,14,Avg. Price,27.29
2015-01-10,15,Avg. Price,26.29
2015-01-10,16,Avg. Price,116.12
2015-01-10,17,Avg. Price,375
2015-01-10,18,Avg. Price,135.7
2015-01-10,19,Avg. Price,73.2
2015-01-10,20,Avg. Price,71.04
2015-01-10,21,Avg. Price,34.07
2015-01-10,22,Avg. Price,33.73
2015-01-10,23,Avg. Price,37.82
2015-01-11,0,Avg. Price,33.42
2015-01-11,1,Avg. Price,33.09
2015-01-11,2,Avg. Price,32.8
2015-01-11,3,Avg. Price,28.2
2015-01-11,4,Avg. Price,28.2
2015-01-11,5,Avg. Price,29.02
2015-01-11,6,Avg. Price,29.81
2015-01-11,7,Avg. Price,28.73
2015-01-11,8,Avg. Price,38.33
2015-01-11,9,Avg. Price,40.15
2015-01-11,10,Avg. Price,35.08
2015-01-11,11,Avg. Price,32.42
2015-01-11,12,Avg. Price,26.64
2015-01-11,13,Avg. Price,22.8
2015-01-11,14,Avg. Price,22.25
2015-01-11,15,Avg. Price,22.26
2015-01-11,16,Avg. Price,98.99
2015-01-11,17,Avg. Price,427.89
2015-01-11,18,Avg. Price,281.95
2015-01-11,19,Avg. Price,72.45
2015-01-11,20,Avg. Price,51.82
2015-01-11,21,Avg. Price,31.9
2015-01-11,22,Avg. Price,27.47
2015-01-11,23,Avg. Price,30.31
2015-01-12,0,Avg. Price,30.5
2015-01-12,1,Avg. Price,31.35
2015-01-12,2,Avg. Price,28.35
2015-01-12,3,Avg. Price,25.79
2015-01-12,4,Avg. Price,23.04
2015-01-12,5,Avg. Price,25.3
2015-01-12,6,Avg. Price,33.16
2015-01-12,7,Avg. Price,32.68
2015-01-12,8,Avg. Price,33.99
2015-01-12,9,Avg. Price,31.89
2015-01-12,10,Avg. Price,31.14
2015-01-12,11,Avg. Price,28.71
2015-01-12,12,Avg. Price,28.9
2015-01-12,13,Avg. Price,34.83
2015-01-12,14,Avg. Price,34.43
2015-01-12,15,Avg. Price,31.58
2015-01-12,16,Avg. Price,53.78
2015-01-12,17,Avg. Price,781.2
2015-01-12,18,Avg. Price,792.32
2015-01-12,19,Avg. Price,312.89
2015-01-12,20,Avg. Price,61.24
2015-01-12,21,Avg. Price,28.88
2015-01-12,22,Avg. Price,23.02
2015-01-12,23,Avg. Price,23.09
2015-01-13,0,Avg. Price,23.63
2015-01-13,1,Avg. Price,20.74
2015-01-13,2,Avg. Price,18.63
2015-01-13,3,Avg. Price,16.05
2015-01-13,4,Avg. Price,17.53
2015-01-13,5,Avg. Price,20.76
2015-01-13,6,Avg. Price,25.43
2015-01-13,7,Avg. Price,30.66
2015-01-13,8,Avg. Price,32.95
2015-01-13,9,Avg. Price,30.71
2015-01-13,10,Avg. Price,30.26
2015-01-13,11,Avg. Price,29.22
2015-01-13,12,Avg. Price,24.63
2015-01-13,13,Avg. Price,23.06
2015-01-13,14,Avg. Price,23.08
2015-01-13,15,Avg. Price,22.38
2015-01-13,16,Avg. Price,21.13
2015-01-13,17,Avg. Price,22.75
2015-01-13,18,Avg. Price,24.12
2015-01-13,19,Avg. Price,26.89
2015-01-13,20,Avg. Price,25.91
2015-01-13,21,Avg. Price,22.94
2015-01-13,22,Avg. Price,18.89
2015-01-13,23,Avg. Price,17.51
2015-01-14,0,Avg. Price,13.07
2015-01-14,1,Avg. Price,14.21
2015-01-14,2,Avg. Price,13.28
2015-01-14,3,Avg. Price,13.22
2015-01-14,4,Avg. Price,13.62
2015-01-14,5,Avg. Price,13.89
2015-01-14,6,Avg. Price,20.48
2015-01-14,7,Avg. Price,21.7
2015-01-14,8,Avg. Price,24.09
2015-01-14,9,Avg. Price,22.07
2015-01-14,10,Avg. Price,20.53
2015-01-14,11,Avg. Price,19.83
2015-01-14,12,Avg. Price,18.49
2015-01-14,13,Avg. Price,18.74
2015-01-14,14,Avg. Price,19.11
2015-01-14,15,Avg. Price,19.82
2015-01-14,16,Avg. Price,20.16
2015-01-14,17,Avg. Price,21.28
2015-01-14,18,Avg. Price,20.63
2015-01-14,19,Avg. Price,22.03
2015-01-14,20,Avg. Price,22.84
2015-01-14,21,Avg. Price,24.35
